NAME_EN,ISO_A3_EH,mean_cf_onshore_wind,mean_cf_pv
Afghanistan,AFG,0.211494103,0.208995833
Albania,ALB,0.181063458,0.168441667
Algeria,DZA,0.371193647,0.2048625
Angola,AGO,0.093599603,0.194108333
Antarctica,ATA,,
Argentina,ARG,0.357896298,0.191633333
Armenia,ARM,0.14758721,0.171095833
Australia,AUS,0.309453487,0.196129167
Austria,AUT,0.220398068,0.1357125
Azerbaijan,AZE,0.14371784,0.159070833
Bangladesh,BGD,0.127758056,0.161691667
Belarus,BLR,0.331378132,0.122854167
Belgium,BEL,0.386274964,0.121516667
Belize,BLZ,0.084216595,0.174033333
Benin,BEN,0.127499193,0.174908333
Bhutan,BTN,0.045278385,0.163158333
Bolivia,BOL,0.144192472,0.205920833
Bosnia and Herzegovina,BIH,0.172275841,0.1487375
Botswana,BWA,0.21009858,0.2127875
Brazil,BRA,0.108476587,0.183508333
Brunei,BRN,0.032913413,0.1625375
Bulgaria,BGR,0.186034247,0.154283333
Burkina Faso,BFA,0.202306584,0.190420833
Burundi,BDI,0.056160145,0.173845833
Cambodia,KHM,0.1118154,0.171875
Cameroon,CMR,0.055624571,0.1782125
Canada,CAN,0.334405363,0.158979167
Central African Republic,CAF,0.062826872,0.186108333
Chad,TCD,0.347112715,0.201558333
Chile,CHL,0.33396095,0.223529167
Colombia,COL,0.056468185,0.168716667
Costa Rica,CRI,0.114813775,0.170541667
Croatia,HRV,0.2075167,0.151275
Cuba,CUB,0.217100501,0.189204167
Cyprus,CYP,0.150992393,0.1957625
Czech Republic,CZE,0.263702542,0.127004167
Democratic Republic of the Congo,COD,0.038157891,0.177316667
Denmark,DNK,0.503745556,0.118475
Djibouti,DJI,0.352059931,0.199883333
Dominican Republic,DOM,0.160413817,0.190408333
East Timor,TLS,0.11611487,0.180795833
Ecuador,ECU,0.052793052,0.141729167
Egypt,EGY,0.362663448,0.2186125
El Salvador,SLV,0.113241315,0.201133333
Equatorial Guinea,GNQ,0.02708284,0.152795833
Eritrea,ERI,0.229923934,0.20395
Estonia,EST,0.358446181,0.118204167
Eswatini,SWZ,0.181928769,0.179941667
Ethiopia,ETH,0.144661412,0.195641667
Falkland Islands,FLK,0.661320388,
Fiji,FJI,0.190462232,0.1589625
Finland,FIN,0.295687586,
France,FRA,0.287188798,0.1410875
French Southern and Antarctic Lands,ATF,,
Gabon,GAB,0.029720886,0.1501
Georgia,GEO,0.155050948,0.154516667
Germany,DEU,0.337089866,0.123366667
Ghana,GHA,0.100549772,0.1675125
Greece,GRC,0.185562655,0.172625
Greenland,GRL,0.589628458,
Guatemala,GTM,0.088359043,0.182729167
Guinea,GIN,0.077344343,0.184891667
Guinea-Bissau,GNB,0.11898274,0.185733333
Guyana,GUY,0.057916995,0.174829167
Haiti,HTI,0.158897743,0.194858333
Honduras,HND,0.11714571,0.177620833
Hungary,HUN,0.257559121,0.143341667
Iceland,ISL,0.44875896,
India,IND,0.137833163,0.180083333
Indonesia,IDN,0.044125125,0.156975
Iran,IRN,0.227701306,0.204829167
Iraq,IRQ,0.318403602,0.194929167
Ireland,IRL,0.516519308,0.104691667
Israel,ISR,0.186187699,0.2115125
Italy,ITA,0.177469224,0.1663875
Ivory Coast,CIV,0.090596631,0.1666625
Jamaica,JAM,0.173618183,0.182741667
Japan,JPN,0.236383334,0.143566667
Jordan,JOR,0.285180092,0.221458333
Kazakhstan,KAZ,0.376146644,0.153541667
Kenya,KEN,0.205274135,0.187675
Kosovo,,0.182104751,
Kuwait,KWT,0.42902109,0.200645833
Kyrgyzstan,KGZ,0.150106177,0.171454167
Laos,LAO,0.129734978,0.1612875
Latvia,LVA,0.35936901,0.118879167
Lebanon,LBN,0.159177706,0.2013125
Lesotho,LSO,0.214186162,0.213954167
Liberia,LBR,0.047321942,0.161804167
Libya,LBY,0.381550878,0.2135125
Lithuania,LTU,0.376278847,0.1196
Luxembourg,LUX,0.321557552,0.122825
Madagascar,MDG,0.186179399,0.198245833
Malawi,MWI,0.176455811,0.191691667
Malaysia,MYS,0.032179154,0.155829167
Mali,MLI,0.324938059,0.194845833
Mauritania,MRT,0.452719361,0.197879167
Mexico,MEX,0.14257285,0.205170833
Moldova,MDA,0.302456975,0.143720833
Mongolia,MNG,0.301947862,0.198220833
Montenegro,MNE,0.183298841,0.159058333
Morocco,MAR,0.349483311,0.208604167
Mozambique,MOZ,0.133569509,0.184791667
Myanmar,MMR,0.079597443,0.172558333
Namibia,NAM,0.21852617,0.224129167
Nepal,NPL,0.071508728,0.1665
Netherlands,NLD,0.460923612,0.1193625
New Caledonia,NCL,0.256864429,0.165683333
New Zealand,NZL,0.363539189,0.153225
Nicaragua,NIC,0.183763772,0.1711875
Niger,NER,0.339324772,0.201541667
Nigeria,NGA,0.15356262,0.179070833
North Korea,PRK,0.203947753,0.163158333
North Macedonia,MKD,0.150245115,0.161725
Norway,NOR,0.355098844,0.11505
Oman,OMN,0.296901673,0.215345833
Pakistan,PAK,0.173792347,0.196358333
Palestine,PSE,0.187646881,0.205616667
Panama,PAN,0.115764119,0.165229167
Papua New Guinea,PNG,0.055564605,0.153829167
Paraguay,PRY,0.254950702,0.178391667
People's Republic of China,CHN,0.238895103,0.161770833
Peru,PER,0.054195341,0.204208333
Philippines,PHL,0.152330577,0.16385
Poland,POL,0.349881291,0.12435
Portugal,PRT,0.245360136,0.1798125
Puerto Rico,PRI,0.168522134,0.183183333
Qatar,QAT,0.321373284,0.204891667
Republic of the Congo,COG,0.037210528,0.156954167
Romania,ROU,0.204928696,0.146816667
Russia,RUS,0.278350264,0.1398
Rwanda,RWA,0.044832997,0.170920833
Saudi Arabia,SAU,0.292329133,0.21495
Senegal,SEN,0.21664837,0.190979167
Serbia,SRB,0.214536861,0.146679167
Sierra Leone,SLE,0.062533051,0.170258333
Slovakia,SVK,0.221443161,0.1360625
Slovenia,SVN,0.183265492,0.143104167
Solomon Islands,SLB,0.107346736,0.153725
Somalia,SOM,0.336014241,0.198404167
Somaliland,,0.316139519,
South Africa,ZAF,0.231427401,0.208483333
South Korea,KOR,0.209613934,0.1590125
South Sudan,SSD,0.115939192,0.185704167
Spain,ESP,0.227694079,0.1838625
Sri Lanka,LKA,0.257942289,0.175491667
Sudan,SDN,0.367767751,0.205966667
Suriname,SUR,0.051223088,0.177875
Sweden,SWE,0.300131053,0.118220833
Switzerland,CHE,0.185466558,0.1401625
Syria,SYR,0.296106607,0.202258333
,,,
Tajikistan,TJK,0.17015563,0.180858333
Tanzania,TZA,0.118902475,0.187779167
Thailand,THA,0.130061194,0.169358333
The Bahamas,BHS,0.246354148,0.189504167
The Gambia,GMB,0.181277499,0.190375
Togo,TGO,0.10368818,0.171845833
Trinidad and Tobago,TTO,0.162482947,0.181208333
Tunisia,TUN,0.348935902,0.1976875
Turkey,TUR,0.179116324,0.180133333
Turkish Republic of Northern Cyprus,,0.174057633,
Turkmenistan,TKM,0.35806939,0.181991667
Uganda,UGA,0.065436505,0.1859
Ukraine,UKR,0.338457614,0.137341667
United Arab Emirates,ARE,0.258091629,0.2085125
United Kingdom,GBR,0.466661781,0.1088625
United States of America,USA,0.302058011,0.1816
Uruguay,URY,0.369789988,0.179345833
Uzbekistan,UZB,0.338908315,0.177866667
Vanuatu,VUT,0.155257002,0.147104167
Venezuela,VEN,0.113106705,0.1814375
Vietnam,VNM,0.159789518,0.1481
Western Sahara,ESH,0.531078458,
Yemen,YEM,0.234387457,0.2172375
Zambia,ZMB,0.127463013,0.201170833
Zimbabwe,ZWE,0.152659431,0.202545833
