tech,Base_2024,Base_2030,2degree_2030,1.5degree_2030,Base_2050,2degree_2050,1.5degree_2050
AD,1.4408,1.2366,1.0376,1.0264,1.019,1.0103,1.0093
AE,1.3737,1.0776,1.0525,1.0274,1.0456,0.999,0.9871
ATR_CCS,1.3533,1.071,1.0516,1.0424,1.0355,1.0128,1.0082
B_PYR,1.6682,1.4797,1.3173,1.0392,1.0495,1.0283,1.0265
CLR,1.5586,1.3787,1.1891,1.0257,1.0408,1.0,0.9918
CuCl,1.6758,1.4659,1.3263,1.0581,1.054,1.0428,1.034
DAC,1.7431,1.4659,1.2665,0.9677,1.0065,0.9514,0.9208
HB,0.9843,0.9795,0.9778,0.9751,0.9764,0.9756,0.9728
HTL,1.4516,1.1636,1.121,1.1009,1.1218,1.0714,1.0523
HTSE,1.6875,1.5154,1.3507,1.1484,1.0712,1.037,1.0205
HVO,1.5472,1.3261,1.119,1.1086,1.1177,1.098,1.0968
M_PYR,1.7431,1.5914,1.4317,1.1285,1.0736,1.0338,1.0228
PEM,1.3565,1.0633,1.0387,1.0142,1.032,0.9863,0.9746
PTM,1.5078,1.2972,1.0886,1.0696,1.0962,1.0332,1.0245
RWGS_FT,1.5696,1.2972,1.0886,1.0696,1.0614,1.0332,1.0245
RWGS_MeOH,1.5696,1.3138,1.1031,1.0838,1.0764,1.0481,1.0389
SMR_CCS,1.3294,1.0434,1.0278,1.0229,1.0113,0.9915,0.9847
SOEC,1.6289,1.4143,1.2278,1.0522,1.0691,1.0233,1.013
SR_FT,1.6875,1.5154,1.3507,1.1671,1.1215,1.0863,1.0634
ST_FT,1.7431,1.5914,1.4507,1.1588,1.1252,1.0938,1.0581
TG_CCS,1.4516,1.1371,1.0863,1.0717,1.071,1.0366,1.0143
TG_FT,1.6319,1.3525,1.126,1.112,1.1111,1.0778,1.065
